,,Detection Rate (Global Expression Specificity),,,,,,,,,,,,Detection Rate (Global Expression Specificity),,,,,,,
GeneID,Cluster,Recount2 TPM 0.1,Recount2 TPM 1.0,Recount2 RPKM 0.3,Recount2 RPKM 1.0,Dee2 TPM 0.1,Dee2 TPM 1.0,Dee2 RPKM 0.3,Dee2 RPKM 1.0,,,,,Recount2,,,,Dee2,,,
158787,Cluster:4,0.826806813,0.463236585,0.651907784,0.246418985,0.965814487,0.629170764,0.795263848,0.295132743,,,,,,,,,,,,
158801,Cluster:4,0.866944284,0.497253092,0.683741816,0.246895617,0.965372009,0.618747951,0.794690265,0.219583743,,,,,,,,,,,,
158880,Cluster:4,0.786619171,0.479241402,0.616361037,0.304116599,0.868747951,0.552687643,0.670009833,0.323779089,,,,,,,,,,,,
161394,Cluster:4,0.787020545,0.408172992,0.547174071,0.232471214,0.905326123,0.496705998,0.614028187,0.274254343,,,,,,,,,,,,
165082,Cluster:4,0.869653563,0.495321476,0.679326694,0.223741314,0.870108161,0.214568994,0.328629957,0.071894461,,,,,,,,,,,,
170487,Cluster:4,0.785114016,0.442465444,0.580262399,0.279181196,0.833628319,0.490970174,0.582218945,0.300786627,,,,,,,,,,,,
200172,Cluster:4,0.813937737,0.474776108,0.617439731,0.287359205,0.779367421,0.258046542,0.363798755,0.087790888,,,,,,,,,,,,
201181,Cluster:4,0.887213707,0.420766124,0.578130096,0.266788751,0.814224844,0.35857096,0.462995739,0.194608325,,,,,,,,,,,,
203238,Cluster:4,0.871710609,0.527205679,0.686877556,0.292175702,0.963995411,0.565732547,0.722107506,0.227548345,,,,,,,,,,,,
219293,Cluster:4,0.920778667,0.513709455,0.688182023,0.304066428,0.697672894,0.229760734,0.320943953,0.110422812,,,,,,,,,,,,
220081,Cluster:4,0.830067983,0.580237313,0.747008504,0.197476357,0.362438545,0.009521468,0.027466404,0.002097673,,,,,,,,,,,,
221468,Cluster:4,0.872137069,0.581842812,0.754283421,0.307929659,0.912159948,0.380383481,0.512569649,0.169469027,,,,,,,,,,,,
222235,Cluster:4,0.839851491,0.392343777,0.543611871,0.255951634,0.937905605,0.379809898,0.524778761,0.172336939,,,,,,,,,,,,
255082,Cluster:4,0.823846675,0.447758573,0.629731832,0.247974312,0.863733202,0.394886922,0.522287775,0.180449033,,,,,,,,,,,,
255512,Cluster:4,0.770965557,0.44876201,0.605147631,0.237212453,0.959537856,0.643641429,0.772222222,0.317109145,,,,,,,,,,,,
257236,Cluster:4,0.795349071,0.447582972,0.605900208,0.222712791,0.952523763,0.598017044,0.730612914,0.259472304,,,,,,,,,,,,
257313,Cluster:4,0.773624664,0.419336227,0.556330432,0.251461255,0.527515569,0.062061619,0.099803343,0.021763356,,,,,,,,,,,,
283152,Cluster:4,0.812558011,0.441963726,0.604119108,0.25843514,0.958243199,0.609652573,0.743231727,0.334251065,,,,,,,,,,,,
283507,Cluster:4,0.849785515,0.524722173,0.690740787,0.313975366,0.912028843,0.393182563,0.559963946,0.131268437,,,,,,,,,,,,
283551,Cluster:4,0.830569701,0.404635878,0.555101222,0.257532047,0.90085218,0.462438545,0.568485742,0.275237627,,,,,,,,,,,,
284358,Cluster:4,0.814589971,0.468755488,0.627724958,0.284323809,0.957456572,0.614290397,0.763536545,0.306932153,,,,,,,,,,,,
284390,Cluster:4,0.825326744,0.559717031,0.687228758,0.341469533,0.807538512,0.329023271,0.471533923,0.099180597,,,,,,,,,,,,
284958,Cluster:4,0.766851466,0.515992274,0.619471691,0.369866794,0.476433956,0.140707965,0.184627991,0.076171747,,,,,,,,,,,,
285349,Cluster:4,0.774176555,0.429696711,0.544314276,0.271504904,0.702982629,0.377728614,0.456358571,0.239069158,,,,,,,,,,,,
285407,Cluster:4,0.863457341,0.431879186,0.64320297,0.165993528,0.787561455,0.13769256,0.241035726,0.03149787,,,,,,,,,,,,
285525,Cluster:4,0.782730853,0.448611494,0.618894714,0.191380478,0.369305146,0.046525729,0.08157981,0.0104392,,,,,,,,,,,,
285755,Cluster:4,0.872964905,0.484434187,0.694403331,0.233876025,0.816371681,0.301573255,0.424664045,0.147902327,,,,,,,,,,,,
285905,Cluster:4,0.872538444,0.506936257,0.713644231,0.197100068,0.612913799,0.108620125,0.174434612,0.030891511,,,,,,,,,,,,
285955,Cluster:4,0.897197903,0.322354063,0.521134887,0.163309334,0.447361521,0.050868568,0.09855785,0.007702393,,,,,,,,,,,,
339327,Cluster:4,0.891503399,0.554724933,0.72847001,0.30835612,0.95560472,0.603326778,0.752835136,0.252736808,,,,,,,,,,,,
339488,Cluster:4,0.786568999,0.413591551,0.551664451,0.261871911,0.922812193,0.503867584,0.623500492,0.288774172,,,,,,,,,,,,
339929,Cluster:4,0.832451145,0.528158944,0.704136668,0.293705943,0.893330056,0.558554572,0.695444117,0.250098328,,,,,,,,,,,,
340485,Cluster:4,0.820334646,0.572234905,0.69287309,0.3723503,0.966437234,0.742232055,0.836807604,0.484185513,,,,,,,,,,,,
344405,Cluster:4,0.843840153,0.573388857,0.714246294,0.356872288,0.931809243,0.646869879,0.763700426,0.336217634,,,,,,,,,,,,
344967,Cluster:4,0.802548729,0.423701177,0.540451045,0.313624163,0.361471649,0.011914127,0.027482793,0.003015405,,,,,,,,,,,,
345462,Cluster:4,0.809045982,0.592579585,0.696485463,0.400847904,0.869174041,0.717961324,0.781186496,0.503998689,,,,,,,,,,,,
348751,Cluster:4,0.800065223,0.492888142,0.638737677,0.279983945,0.927958047,0.590822681,0.721058669,0.309980334,,,,,,,,,,,,
