  Cluster,Variable,     Q5,    Q10,    Q15,    Q20,    Q25,    Q30,    Q35,    Q40,    Q45,    Q50,    Q55,    Q60,    Q65,    Q70,    Q75,    Q80,    Q85,    Q90,    Q95
,1st Qu,19.54,28.3,34.78,40.87,45.44,50.34,55.63,60.61,65.23,70.09,75.68,80.88,86.03,92.11,100.9,110.3,121.4,137.6,165.3
,Median,25.76,36.09,43.86,50.7,56.48,62.08,67.58,72.76,78.43,84.13,90.04,96.09,103.14,110.54,118.9,129.6,142.5,161.8,195.4
,Mean,23.82,33.09,39.82,45.56,50.79,55.78,60.7,65.64,70.71,75.98,81.54,87.51,94.04,101.35,109.7,119.7,132.5,150.6,183.4
,3rd Qu,30.34,41.61,49.92,56.59,62.99,68.88,74.69,80.85,86.77,93.05,99.84,107.6,115.3,123.97,132.9,144.1,158,179,217.4
,Max,44.84,57.07,64.47,71.86,79.34,86.29,93,99.69,106.61,117.32,128.16,142,158.48,178.05,199.4,222.5,250.4,287.4,356.6
Cluster:89,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1st Qu,23.81,35.11,43.03,49.29,55.5,61.48,67.82,74.04,80.13,86.73,92.7,99.53,106.8,115.3,125.3,137.2,151.9,172.5,204.6
,Median,30.47,43.41,52.86,61.11,68.15,75.25,81.76,88.36,95.02,101.33,109,116.65,124,134.3,144.6,157.8,173.1,196.9,239.5
,Mean,29.12,40.78,49.13,56.17,62.62,68.8,74.89,81.01,87.29,93.83,100.8,108.39,116.6,125.7,136.2,148.8,164.8,187.7,229.1
,3rd Qu,36.46,50.58,59.99,68.3,76.14,83.7,90.34,97.74,104.65,111.79,119.4,128.07,137.4,147.8,159.5,174,192.1,217.9,267.1
,Max,55.82,72.3,82.53,89.57,99.6,109.02,117.25,125.2,132.74,141.33,157.1,173.58,191.3,210.6,231.6,254.9,283.7,325.5,396.9
Cluster:24,Min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1st Qu,29.9,44.29,54.56,64.3,74.22,83.15,90.28,98.16,107.1,114.3,122.1,130.9,139.6,150.5,162.2,176.7,195,218.5,259.8
,Median,38.75,55.03,66.76,76.02,85.1,93.78,102.21,110.05,118.4,127.2,135.8,145.4,155.7,166.1,180.1,195,215.7,243.2,291.8
,Mean,37.57,52.32,62.86,71.77,79.92,87.7,95.32,102.95,110.7,118.8,127.4,136.7,146.8,158.1,171.1,186.6,206.5,234.9,286.3
,3rd Qu,47.64,64.47,76.24,85.76,94.26,102.56,110.62,118.58,127.9,137.2,145.1,156.6,167.9,180.5,195,213.4,237.3,269.6,333.1
,Max,71.4,89.15,100.23,108.77,116.11,125.9,135.44,144.39,153.6,162.8,172.4,185.9,201.8,225.5,251.4,280.3,315.8,362.6,557.9
Cluster:25,Min,0.2976,0.6007,0.81,1.014,1.224,1.455,1.703,1.98,2.297,2.646,3.047,3.504,4.054,4.716,5.56,6.73,8.321,10.65,16.3
,1st Qu,37.2509,53.9908,66.54,77.816,87.034,96.574,104.942,113.06,121.156,131.5,141.436,152.031,164.08,175,188.73,205.28,227.077,256.52,304
,Median,45.5291,65.4175,79.04,90.263,101.336,111.194,121.128,130.61,140.799,150.078,161.32,172.644,184.008,197.162,212.77,231.86,256.159,289.71,346.5
